SentenceRef,CorrectedSentence,RawSentence,TokensInSentence,EditsInSentence,EqualsInSentence,Insertions,Deletions,Replacements,CorrectBeginning,CorrectEnding,InputQuality
BBCMHJPT_s000,There once was a girl called lilly she had pet horse they went for walk oh no she said we are lost what should we do.,There once was a girl called lilly she had pet horse they went for walk oh no she said we are lost what should we do.,27,0,27,0,0,0,1.0,1,ok
BBCMHJPT_s001,They finaly got home YAAAYwe are home that was a long trip lest' s go to bed now the horse said why you can talk lilly said.,They finaly got home YAAAYwe are home that was a long trip lest' s go to bed now the horse said why you can talk lilly said.,29,0,29,0,0,0,1.0,1,ok
BBKBYNDW_s000,Wrire a narrative story abouta search for some thing.,wrire a narrative story abouta search for some thing.,10,0,10,0,0,0,0.0,1,ok
BBKBYNDW_s001,your story could be about a plaace or a searck for an obj ect.,your story could be about a plaace or a searck for an obj ect.,15,0,15,0,0,0,0.0,1,ok
BBKBYNDW_s002,lt could be you can what happens if it isn own idea adout a search for something.,lt could be you can what happens if it isn own idea adout a search for something.,18,0,18,0,0,0,0.0,1,ok
BBKBYNDW_s003,information orbs WH.,information orbs WH,4,1,3,1,0,0,0.0,0,ok
BBRWTLYV_s000,"The Failed Submarine I had always wanted go on a submarine, especially a Sub 2, a type of submarine that has every thing you can think of.","The Failed Submarine I had always wanted go on a submarine, especially a Sub 2, a type of submarine that has every thing you can think of.",30,0,30,0,0,0,1.0,1,ok
BBRWTLYV_s001,"Floating chairs, luxurious king sized beds, rooms as large as a house, those were all average features on a Sub 2.","Floating chairs, luxurious king sized beds, rooms as large as a house, those were all average features on a Sub 2.",25,0,25,0,0,0,1.0,1,ok
BBRWTLYV_s002,But the major problem was the' bargain' price.,But the major problem was the' bargain' price.,11,0,11,0,0,0,1.0,1,ok
BBRWTLYV_s003,It was only about a few thousand dollars a night to go on an underwater and moving' hotel'.,It was only about a few thousand dollars a night to go on an underwater and moving' hotel'.,21,0,21,0,0,0,1.0,1,ok
BBRWTLYV_s004,But that became possible after we got an email from the NSW Lotteries giving us a few million dollars after we won.,But that became possible after we got an email from the NSW Lotteries giving us a few million dollars after we won.,23,0,23,0,0,0,1.0,1,ok
